0 659
 0.430565 -0.338995 0
 0.426894 -0.333955 0
 0.427933 -0.332623 0
 0.436882 -0.3374 0
 0.436344 -0.334819 0
 0.437386 -0.333457 0
 0.441611 -0.334508 0
 0.450642 -0.339143 0
 0.4549 -0.340132 0
 0.449536 -0.333942 0
 0.461839 -0.340853 0
 0.458061 -0.335864 0
 0.459105 -0.334435 0
 0.460145 -0.333002 0
 0.467676 -0.336236 0
 0.473605 -0.338264 0
 0.474656 -0.336787 0
 0.475704 -0.335306 0
 0.475108 -0.332674 0
 0.550027 -0.382584 0
 0.57054 -0.391598 0
 0.58002 -0.395451 0
 1.67088 -1.13158 0
 1.67938 -1.12971 0
 1.68788 -1.12781 0
 1.69639 -1.12586 0
 1.6882 -1.11286 0
 1.69166 -1.10759 0
 1.70014 -1.10559 0
 1.68509 -1.08835 0
 1.66996 -1.07121 0
 1.67666 -1.06815 0
 1.66646 -1.05437 0
 1.64773 -1.03533 0
 1.03502 -0.645856 0
 0.953727 -0.591007 0
 0.831222 -0.511514 0
 0.822572 -0.502664 0
 0.819006 -0.496985 0
 0.808559 -0.487204 0
 0.816939 -0.488789 0
 0.806422 -0.47909 0
 0.813079 -0.479623 0
 0.80249 -0.470011 0
 0.805679 -0.468513 0
 0.80194 -0.463 0
 0.803379 -0.460498 0
 0.80481 -0.457992 0
 0.806234 -0.455482 0
 0.807649 -0.452967 0
 0.802067 -0.446556 0
 0.803455 -0.444054 0
 0.804835 -0.441548 0
 0.800938 -0.436168 0
 0.802294 -0.433669 0
 0.798354 -0.42833 0
 0.799685 -0.42584 0
 0.801009 -0.423345 0
 0.802324 -0.420847 0
 0.808954 -0.421115 0
 0.803155 -0.41492 0
 0.799105 -0.409677 0
 0.807508 -0.410812 0
 0.806999 -0.407392 0
 0.797536 -0.399501 0
 0.809523 -0.402354 0
 0.810773 -0.399829 0
 0.79944 -0.391147 0
 0.802454 -0.389527 0
 0.801862 -0.386156 0
 0.803062 -0.383656 0
 0.804254 -0.381151 0
 0.805438 -0.378642 0
 0.806614 -0.37613 0
 0.807782 -0.373614 0
 0.808943 -0.371095 0
 0.800993 -0.364431 0
 0.803948 -0.362755 0
 0.803249 -0.359431 0
 0.804366 -0.356926 0
 0.806575 -0.351905 0
 0.822353 -0.355742 0
 0.817943 -0.350812 0
 0.819032 -0.348261 0
 0.825643 -0.348038 0
 0.826723 -0.345463 0
 0.827796 -0.342884 0
 0.828861 -0.340303 0
 0.833622 -0.339225 0
 0.830966 -0.33513 0
 0.835721 -0.334023 0
 0.836758 -0.331416 0
 0.834063 -0.327346 0
 0.840671 -0.326919 0
 0.851017 -0.327893 0
 0.852035 -0.325239 0
 0.86614 -0.327534 0
 0.867156 -0.324833 0
 0.88129 -0.326999 0
 0.895446 -0.32908 0
 0.883311 -0.321499 0
 0.901242 -0.324848 0
 0.909785 -0.324727 0
 0.914564 -0.323223 0
 0.92123 -0.322352 0
 0.948688 -0.328645 0
 0.979977 -0.336067 0
 1.05488 -0.358084 0
 1.19753 -0.3982 0
 1.25006 -0.411344 0
 1.25134 -0.407446 0
 1.25641 -0.404771 0
 1.25766 -0.400853 0
 1.25509 -0.395729 0
 1.25823 -0.392411 0
 1.24989 -0.38554 0
 1.25108 -0.381642 0
 1.24652 -0.376009 0
 1.25152 -0.373265 0
 1.24117 -0.365969 0
 1.25191 -0.364897 0
 1.25304 -0.360993 0
 1.25416 -0.357086 0
 1.25911 -0.354259 0
 1.26599 -0.35194 0
 1.26708 -0.347993 0
 1.27009 -0.344566 0
 1.26343 -0.338535 0
 1.27801 -0.338177 0
 1.27713 -0.333687 0
 1.28978 -0.332702 0
 1.285 -0.3272 0
 1.29377 -0.325144 0
 1.29478 -0.32111 0
 1.3016 -0.318499 0
 1.31619 -0.317726 0
 1.34831 -0.321034 0
 1.40771 -0.330546 0
 1.44965 -0.335631 0
 1.47799 -0.337342 0
 1.51611 -0.341074 0
 1.60113 -0.354961 0
 1.63153 -0.356371 0
 1.67174 -0.359698 0
 1.68655 -0.357388 0
 1.67003 -0.348454 0
 1.6574 -0.34043 0
 0.637112 -0.128795 0
 0.43743 -0.0870103 0
 0.42396 -0.0829581 0
 0.412433 -0.0793687 0
 0.385166 -0.0728773 0
 0.37556 -0.0698481 0
 0.362004 -0.0661603 0
 0.348429 -0.0625577 0
 0.336804 -0.0593877 0
